	 Population Size: 300 	 Vaccination Percentage: 0.7 	 Virus: name Covid 	 mortality rate: 0.5 	 basic reproduction number: 0.5 
 	 Step number: 1 	 Interactions: 1 	 New Infections: 0 
 	 Step number: 1 	 Interactions: 2 	 New Infections: 1 
 	 Step number: 1 	 Interactions: 3 	 New Infections: 2 
 	 Step number: 1 	 Interactions: 4 	 New Infections: 3 
 	 Step number: 1 	 Interactions: 5 	 New Infections: 3 
 	 Step number: 1 	 Interactions: 6 	 New Infections: 4 
 	 Step number: 1 	 Interactions: 7 	 New Infections: 5 
 	 Step number: 1 	 Interactions: 8 	 New Infections: 6 
 	 Step number: 1 	 Interactions: 9 	 New Infections: 7 
 	 Step number: 1 	 Interactions: 10 	 New Infections: 7 
 	 Step number: 1 	 Interactions: 11 	 New Infections: 8 
 	 Step number: 1 	 Interactions: 12 	 New Infections: 9 
 	 Step number: 1 	 Interactions: 13 	 New Infections: 10 
 	 Step number: 1 	 Interactions: 14 	 New Infections: 10 
 	 Step number: 1 	 Interactions: 15 	 New Infections: 10 
 	 Step number: 1 	 Interactions: 16 	 New Infections: 10 
 	 Step number: 1 	 Interactions: 17 	 New Infections: 11 
 	 Step number: 1 	 Interactions: 18 	 New Infections: 12 
 	 Step number: 1 	 Interactions: 19 	 New Infections: 13 
 	 Step number: 1 	 Interactions: 20 	 New Infections: 14 
 	 Step number: 1 	 Interactions: 21 	 New Infections: 15 
 	 Step number: 1 	 Interactions: 22 	 New Infections: 15 
 	 Step number: 1 	 Interactions: 23 	 New Infections: 16 
 	 Step number: 1 	 Interactions: 24 	 New Infections: 17 
 	 Step number: 1 	 Interactions: 25 	 New Infections: 18 
 	 Step number: 1 	 Interactions: 26 	 New Infections: 19 
 	 Step number: 1 	 Interactions: 27 	 New Infections: 19 
 	 Step number: 1 	 Interactions: 28 	 New Infections: 19 
 	 Step number: 1 	 Interactions: 29 	 New Infections: 20 
 	 Step number: 1 	 Interactions: 30 	 New Infections: 20 
 	 Step number: 1 	 Interactions: 31 	 New Infections: 21 
 	 Step number: 1 	 Interactions: 32 	 New Infections: 22 
 	 Step number: 1 	 Interactions: 33 	 New Infections: 22 
 	 Step number: 1 	 Interactions: 34 	 New Infections: 22 
 	 Step number: 1 	 Interactions: 35 	 New Infections: 23 
 	 Step number: 1 	 Interactions: 36 	 New Infections: 23 
 	 Step number: 1 	 Interactions: 37 	 New Infections: 24 
 	 Step number: 1 	 Interactions: 38 	 New Infections: 24 
 	 Step number: 1 	 Interactions: 39 	 New Infections: 24 
 	 Step number: 1 	 Interactions: 40 	 New Infections: 24 
 	 Step number: 1 	 Interactions: 41 	 New Infections: 24 
 	 Step number: 1 	 Interactions: 42 	 New Infections: 24 
 	 Step number: 1 	 Interactions: 43 	 New Infections: 24 
 	 Step number: 1 	 Interactions: 44 	 New Infections: 25 
 	 Step number: 1 	 Interactions: 45 	 New Infections: 25 
 	 Step number: 1 	 Interactions: 46 	 New Infections: 26 
 	 Step number: 1 	 Interactions: 47 	 New Infections: 27 
 	 Step number: 1 	 Interactions: 48 	 New Infections: 28 
 	 Step number: 1 	 Interactions: 49 	 New Infections: 28 
 	 Step number: 1 	 Interactions: 50 	 New Infections: 29 
 	 Step number: 1 	 Interactions: 51 	 New Infections: 30 
 	 Step number: 1 	 Interactions: 52 	 New Infections: 31 
 	 Step number: 1 	 Interactions: 53 	 New Infections: 31 
 	 Step number: 1 	 Interactions: 54 	 New Infections: 32 
 	 Step number: 1 	 Interactions: 55 	 New Infections: 32 
 	 Step number: 1 	 Interactions: 56 	 New Infections: 32 
 	 Step number: 1 	 Interactions: 57 	 New Infections: 32 
 	 Step number: 1 	 Interactions: 58 	 New Infections: 33 
 	 Step number: 1 	 Interactions: 59 	 New Infections: 33 
 	 Step number: 1 	 Interactions: 60 	 New Infections: 33 
 	 Step number: 1 	 Interactions: 61 	 New Infections: 33 
 	 Step number: 1 	 Interactions: 62 	 New Infections: 33 
 	 Step number: 1 	 Interactions: 63 	 New Infections: 33 
 	 Step number: 1 	 Interactions: 64 	 New Infections: 34 
 	 Step number: 1 	 Interactions: 65 	 New Infections: 35 
 	 Step number: 1 	 Interactions: 66 	 New Infections: 36 
 	 Step number: 1 	 Interactions: 67 	 New Infections: 36 
 	 Step number: 1 	 Interactions: 68 	 New Infections: 36 
 	 Step number: 1 	 Interactions: 69 	 New Infections: 36 
 	 Step number: 1 	 Interactions: 70 	 New Infections: 36 
 	 Step number: 1 	 Interactions: 71 	 New Infections: 37 
 	 Step number: 1 	 Interactions: 72 	 New Infections: 37 
 	 Step number: 1 	 Interactions: 73 	 New Infections: 37 
 	 Step number: 1 	 Interactions: 74 	 New Infections: 38 
 	 Step number: 1 	 Interactions: 75 	 New Infections: 38 
 	 Step number: 1 	 Interactions: 76 	 New Infections: 38 
 	 Step number: 1 	 Interactions: 77 	 New Infections: 38 
 	 Step number: 1 	 Interactions: 78 	 New Infections: 39 
 	 Step number: 1 	 Interactions: 79 	 New Infections: 40 
